Date,Open,High,Low,Close,Volume,SGOL Percent Change
2014-11-18,117.08,117.37,116.87,117.31,50570,0.008857929136566911
2014-11-19,117.21,117.59,115.21,115.98,87147,-0.01133748188560224
2014-11-20,116.8,117.23,116.47,117.1,15670,0.009656837385756178
2014-11-21,117.83,118.19,116.97,117.61,31857,0.004355251921434711
2014-11-24,117.44,117.59,117.06,117.36,22835,-0.002125669585919532
2014-11-25,117.27,117.65,117.17,117.57,37876,0.0017893660531695943
2014-11-26,117.46,117.54,117.24,117.38,31239,-0.0016160585183294662
2014-11-28,115.64,115.95,114.3,114.32,20048,-0.0260691770318624
2014-12-01,116.0,119.43,116.0,118.87,81152,0.03980055983205055
2014-12-02,117.34,117.76,117.05,117.42,32989,-0.01219819971397329
2014-12-03,117.99,119.01,117.89,118.59,20271,0.009964230965763932
2014-12-04,118.33,118.57,118.0,118.18,12222,-0.0034572898220760484
2014-12-05,117.4,117.4,116.5,116.66,21873,-0.012861736334405238
2014-12-08,117.19,118.33,116.83,118.04,23624,0.011829247385565012
2014-12-09,119.3,121.04,119.3,120.46,39460,0.02050152490681123
2014-12-10,120.43,120.72,120.15,120.29,33565,-0.0014112568487463228
2014-12-11,119.27,120.5,119.17,120.0,31685,-0.0024108404688669705
2014-12-12,119.66,119.91,119.0,119.69,22081,-0.002583333333333382
2014-12-15,118.49,119.13,116.65,116.65,50878,-0.025398947280474538
2014-12-16,118.57,118.77,116.64,117.23,40454,0.004972138876982335
2014-12-17,117.3,117.72,115.91,116.48,90943,-0.006397679774801657
2014-12-18,117.84,118.06,116.87,117.4,54483,0.007898351648351731
2014-12-19,117.22,117.4,117.08,117.08,31461,-0.002725724020443021
2014-12-22,117.16,117.2,114.57,114.77,194328,-0.019730099077553853
2014-12-23,115.02,115.49,114.82,114.97,144343,0.0017426156661148884
2014-12-24,115.09,115.09,114.93,114.98,7613,8.697921196842984e-05
2014-12-26,117.24,117.24,116.8,117.12,23245,0.018611932510001816
2014-12-29,116.91,116.91,115.5,115.93,262285,-0.010160519125683054
2014-12-30,117.2,118.53,117.17,117.43,220208,0.012938842404899509
2014-12-31,117.1,117.17,115.62,115.85,40485,-0.013454824150557876
2015-01-02,114.71,116.83,114.69,116.32,38566,0.00405697022011231
2015-01-05,117.05,118.27,117.0,118.1,24137,0.015302613480055127
2015-01-06,118.54,119.74,118.21,119.39,34186,0.010922946655376853
2015-01-07,118.8,119.1,118.5,118.69,26485,-0.005863137616215819
2015-01-08,118.78,119.12,118.16,118.2,69382,-0.004128401718763164
