Date,Open,High,Low,Close,Volume,IJS Percent Change
2014-12-10,116.43,116.62,114.14,114.22,74654,-0.021921561911286247
2014-12-11,114.82,116.03,114.46,114.68,98885,0.004027315706531365
2014-12-12,113.5,114.2,113.0,113.13,89261,-0.013515870247645667
2014-12-15,113.7,114.01,111.87,112.25,123234,-0.007778661716609125
2014-12-16,111.98,113.76,111.77,111.98,143808,-0.002405345211581311
2014-12-17,112.01,114.98,111.96,114.92,190108,0.026254688337203014
2014-12-18,116.48,116.6,115.34,116.49,104333,0.013661677688826979
2014-12-19,116.48,117.0,115.73,116.59,141845,0.0008584427847884157
2014-12-22,116.72,117.3,116.34,117.3,97216,0.006089716099150877
2014-12-23,117.78,118.55,117.61,118.06,110434,0.00647911338448437
2014-12-24,118.0,118.01,117.26,117.74,64063,-0.002710486193461037
2014-12-26,117.84,118.76,117.84,118.5,50668,0.006454900628503513
2014-12-29,118.79,119.52,118.73,119.2,49976,0.005907172995780696
2014-12-30,119.11,119.37,118.52,118.52,106231,-0.005704697986577245
2014-12-31,119.14,119.47,117.9,117.94,73176,-0.004893688828889631
2015-01-02,118.51,119.17,115.88,117.07,840879,-0.007376632185857268
2015-01-05,116.48,117.07,114.47,115.02,661240,-0.017510890919962385
2015-01-06,115.34,115.34,112.22,112.88,301263,-0.018605459920013945
2015-01-07,113.42,113.9,112.87,113.76,353043,0.007795889440113557
2015-01-08,114.59,115.75,114.59,115.57,201094,0.01591068917018279
2015-01-09,115.7,115.7,114.14,114.24,101397,-0.011508176862507602
2015-01-12,114.13,114.23,112.39,113.49,270207,-0.006565126050420145
2015-01-13,114.13,115.78,112.72,113.92,94286,0.003788880077539858
2015-01-14,112.74,113.5,112.0,113.33,113674,-0.005179073033707904
2015-01-15,113.56,113.78,111.34,111.53,186489,-0.015882820082943616
2015-01-16,111.07,113.23,111.07,113.07,99015,0.013807944050928
2015-01-20,113.29,113.31,111.62,112.45,263902,-0.005483328911293772
2015-01-21,112.07,112.99,111.75,112.33,63531,-0.0010671409515340402
2015-01-22,113.35,114.58,111.75,114.51,109371,0.019407104068370096
2015-01-23,114.67,114.69,113.83,114.23,63736,-0.002445201292463506
2015-01-26,114.11,115.27,113.48,115.27,86672,0.009104438413726657
2015-01-27,113.95,115.05,113.81,114.58,64542,-0.005985946039732792
2015-01-28,115.18,115.25,112.18,112.52,104965,-0.01797870483504982
2015-01-29,112.66,113.92,111.96,113.92,108936,0.012442232492001493
2015-01-30,113.6,113.6,111.59,111.67,100722,-0.019750702247191
2015-02-02,111.86,113.3,110.79,113.2,172155,0.013701083549744864
2015-02-03,113.88,115.66,113.88,115.6,83670,0.021201413427561766
2015-02-04,115.26,115.87,114.85,115.0,210120,-0.00519031141868509
2015-02-05,115.03,116.86,115.03,116.72,69884,0.014956521739130535
2015-02-06,116.75,117.27,116.19,116.55,89661,-0.0014564770390678161
2015-02-09,115.9,116.95,115.56,115.63,74996,-0.007893607893607935
2015-02-10,116.32,116.32,114.64,115.87,55535,0.002075585920608969
2015-02-11,115.64,115.92,114.88,115.65,124891,-0.001898679554673377
2015-02-12,116.33,116.89,116.21,116.86,142811,0.010462602680501476
2015-02-13,116.88,117.67,116.85,117.52,147531,0.005647783672770856
2015-02-17,117.6,117.78,117.1,117.61,133808,0.0007658270932606737
2015-02-18,117.25,117.61,116.87,117.61,76869,0.0
2015-02-19,117.16,117.85,117.0,117.58,78611,-0.00025508035031041043
2015-02-20,117.45,117.71,116.4,117.65,56204,0.0005953393434257048
2015-02-23,117.03,117.64,116.42,117.64,106119,-8.499787505311662e-05
2015-02-24,117.85,118.44,117.45,118.12,68377,0.004080244814688827
2015-02-25,118.09,118.29,117.58,117.98,58486,-0.0011852353538773786
2015-02-26,118.04,118.75,117.98,118.61,60012,0.005339888116629998
2015-02-27,118.66,118.81,118.21,118.21,63757,-0.003372396931118793
2015-03-02,118.23,119.21,118.15,118.9,167785,0.005837069621859481
2015-03-03,118.67,118.68,117.88,118.47,72339,-0.003616484440706502
2015-03-04,117.89,118.01,117.2,117.75,134948,-0.006077487971638429
2015-03-05,117.79,117.79,116.9,117.6,67763,-0.001273885350318471
2015-03-06,116.95,117.54,115.97,116.1,52486,-0.012755102040816313
2015-03-09,116.54,117.05,116.41,116.85,65673,0.006459948320413522
2015-03-10,115.83,115.99,115.01,115.2,64131,-0.014120667522464658
2015-03-11,115.32,115.98,114.78,115.91,67649,0.006163194444444464
2015-03-12,116.65,118.09,116.65,117.96,66246,0.017686135795013325
2015-03-13,117.88,117.88,116.01,117.4,61392,-0.004747371990505123
2015-03-16,117.95,118.01,117.45,117.64,46263,0.002044293015332155
2015-03-17,117.39,118.1,117.12,117.93,50514,0.002465147908874643
2015-03-18,117.74,119.36,117.35,119.0,76724,0.009073179004494225
2015-03-19,118.61,119.15,118.42,118.93,52471,-0.0005882352941175562
2015-03-20,119.39,120.24,119.13,120.09,68631,0.009753636592953807
2015-03-23,120.08,120.86,120.08,120.33,90849,0.001998501124156782
2015-03-24,120.31,120.67,120.15,120.43,53060,0.0008310479514668234
2015-03-25,120.06,120.06,117.72,117.83,81038,-0.021589304990450975
2015-03-26,117.49,117.95,117.19,117.45,87093,-0.003224985148094661
2015-03-27,117.51,117.89,116.86,117.84,90788,0.003320561941251521
