Date,Open,High,Low,Close,Volume,SHV Percent Change
2011-03-28,110.24,110.24,110.23,110.23,25262,-9.071117561676445e-05
2011-03-29,110.22,110.23,110.22,110.22,56654,-9.07194048807014e-05
2011-03-30,110.22,110.24,110.22,110.22,30471,0.0
2011-03-31,110.23,110.25,110.23,110.23,78984,9.072763563788833e-05
2011-04-01,110.22,110.25,110.21,110.24,50026,9.07194048807014e-05
2011-04-04,110.23,110.25,110.23,110.24,6095,0.0
2011-04-05,110.23,110.25,110.21,110.21,253308,-0.0002721335268505154
2011-04-06,110.23,110.24,110.22,110.22,230608,9.073586788854726e-05
2011-04-07,110.22,110.25,110.22,110.25,67142,0.00027218290691344293
2011-04-08,110.25,110.26,110.24,110.24,35185,-9.070294784585542e-05
2011-04-11,110.23,110.25,110.23,110.23,52035,-9.071117561676445e-05
2011-04-12,110.24,110.26,110.24,110.26,42889,0.0002721582146421042
2011-04-13,110.25,110.27,110.25,110.26,57476,0.0
2011-04-14,110.25,110.27,110.25,110.27,33366,9.069472156708613e-05
2011-04-15,110.25,110.26,110.25,110.25,48572,-0.00018137299356124625
2011-04-18,110.25,110.27,110.25,110.26,7421,9.070294784585542e-05
2011-04-19,110.26,110.28,110.25,110.28,29866,0.0001813894431343943
2011-04-20,110.25,110.27,110.25,110.27,39054,-9.067827348574475e-05
2011-04-21,,,,110.28,0,9.068649678067864e-05
2011-04-25,110.26,110.28,110.24,110.24,41146,-0.00036271309394275697
2011-04-26,110.26,110.27,110.25,110.25,5737,9.07111756169865e-05
2011-04-27,110.25,110.27,110.25,110.27,36018,0.0001814058956914888
2011-04-28,110.27,110.27,110.25,110.25,17161,-0.00018137299356124625
2011-04-29,110.27,110.28,110.27,110.28,14340,0.0002721088435373442
2011-05-02,110.24,110.27,110.24,110.25,35655,-0.0002720348204570122
2011-05-03,110.26,110.29,110.26,110.27,39774,0.0001814058956914888
2011-05-04,110.26,110.28,110.25,110.28,33927,9.068649678067864e-05
2011-05-05,110.29,110.29,110.25,110.27,23262,-9.067827348574475e-05
2011-05-06,110.25,110.28,110.25,110.28,8812,9.068649678067864e-05
2011-05-09,110.26,110.26,110.24,110.24,42534,-0.00036271309394275697
2011-05-10,110.24,110.26,110.23,110.26,94453,0.00018142235123375094
2011-05-11,110.24,110.26,110.24,110.24,38784,-0.00018138944313450533
2011-05-12,110.24,110.26,110.24,110.24,28875,0.0
2011-05-13,110.26,110.28,110.24,110.28,71462,0.0003628447024675019
2011-05-16,110.25,110.25,110.23,110.23,33103,-0.0004533913674283907
2011-05-17,110.26,110.27,110.25,110.27,205057,0.0003628776195228056
2011-05-18,110.25,110.26,110.25,110.25,15428,-0.00018137299356124625
2011-05-19,110.25,110.26,110.25,110.25,21690,0.0
2011-05-20,110.26,110.26,110.23,110.23,92851,-0.00018140589569159982
2011-05-23,110.24,110.26,110.24,110.26,45402,0.0002721582146421042
2011-05-24,110.26,110.26,110.24,110.24,10371,-0.00018138944313450533
2011-05-25,110.24,110.26,110.24,110.26,31008,0.00018142235123375094
2011-05-26,110.25,110.26,110.25,110.25,5450,-9.069472156719716e-05
2011-05-27,,,,110.27,0,0.0001814058956914888
2011-05-31,110.24,110.26,110.24,110.26,41911,-9.068649678056762e-05
2011-06-01,110.24,110.26,110.24,110.25,42951,-9.069472156719716e-05
2011-06-02,110.24,110.26,110.24,110.24,57885,-9.070294784585542e-05
2011-06-03,110.24,110.25,110.24,110.25,22404,9.07111756169865e-05
2011-06-06,110.24,110.25,110.23,110.23,11287,-0.00018140589569159982
2011-06-07,110.25,110.25,110.23,110.23,10816,0.0
2011-06-08,110.26,110.26,110.22,110.22,56834,-9.07194048807014e-05
2011-06-09,110.22,110.23,110.22,110.22,24009,0.0
2011-06-10,110.24,110.24,110.22,110.23,26029,9.072763563788833e-05
2011-06-13,110.22,110.24,110.21,110.21,86310,-0.00018143880976151383
2011-06-14,110.23,110.24,110.22,110.22,27212,9.073586788854726e-05
2011-06-15,110.24,110.25,110.22,110.23,64109,9.072763563788833e-05
2011-06-16,110.25,110.25,110.24,110.24,74780,9.07194048807014e-05
2011-06-17,110.25,110.25,110.23,110.24,48298,0.0
2011-06-20,110.24,110.25,110.23,110.25,9753,9.07111756169865e-05
2011-06-21,110.23,110.26,110.23,110.26,37735,9.070294784585542e-05
2011-06-22,110.24,110.26,110.24,110.26,46924,0.0
2011-06-23,110.26,110.26,110.25,110.26,51701,0.0
2011-06-24,110.25,110.26,110.24,110.24,49316,-0.00018138944313450533
2011-06-27,110.24,110.25,110.23,110.23,42267,-9.071117561676445e-05
2011-06-28,110.23,110.25,110.23,110.24,99593,9.07194048807014e-05
2011-06-29,110.26,110.26,110.24,110.26,11326,0.00018142235123375094
2011-06-30,110.23,110.27,110.23,110.27,295788,9.069472156708613e-05
2011-07-01,,,,110.26,0,-9.068649678056762e-05
2011-07-05,110.26,110.26,110.25,110.26,44928,0.0
2011-07-06,110.25,110.27,110.24,110.27,52991,9.069472156708613e-05
2011-07-07,110.25,110.27,110.24,110.25,50911,-0.00018137299356124625
2011-07-08,110.26,110.26,110.24,110.24,7475,-9.070294784585542e-05
2011-07-11,110.24,110.26,110.24,110.24,429148,0.0
2011-07-12,110.25,110.25,110.23,110.23,25109,-9.071117561676445e-05
2011-07-13,110.23,110.25,110.23,110.24,17732,9.07194048807014e-05
2011-07-14,110.24,110.26,110.24,110.26,57119,0.00018142235123375094
2011-07-15,110.25,110.25,110.25,110.25,26017,-9.069472156719716e-05
2011-07-18,110.24,110.26,110.24,110.24,10858,-9.070294784585542e-05
2011-07-19,110.24,110.26,110.23,110.24,31401,0.0
2011-07-20,110.25,110.25,110.22,110.22,8440,-0.00018142235123363992
2011-07-21,110.22,110.23,110.22,110.22,8231,0.0
2011-07-22,110.22,110.23,110.22,110.22,9235,0.0
2011-07-25,110.21,110.24,110.21,110.24,16370,0.0001814552712755546
2011-07-26,110.24,110.24,110.2,110.2,46944,-0.00036284470246727984
2011-07-27,110.2,110.22,110.2,110.22,7526,0.00018148820326668869
2011-07-28,110.21,110.22,110.2,110.2,9312,-0.0001814552712755546
2011-07-29,110.19,110.21,110.17,110.2,107840,0.0
2011-08-01,110.22,110.22,110.17,110.18,57276,-0.0001814882032667997
2011-08-02,110.19,110.23,110.19,110.23,135342,0.0004538028680340922
2011-08-03,110.21,110.25,110.21,110.25,130794,0.0001814388097614028
2011-08-04,110.24,110.26,110.23,110.26,186754,9.070294784585542e-05
2011-08-05,110.27,110.27,110.24,110.25,250165,-9.069472156719716e-05
2011-08-08,110.26,110.26,110.23,110.23,400043,-0.00018140589569159982
2011-08-09,110.23,110.27,110.17,110.25,257429,0.0001814388097614028
2011-08-10,110.24,110.26,110.22,110.23,321642,-0.00018140589569159982
2011-08-11,110.26,110.26,110.23,110.24,59702,9.07194048807014e-05
2011-08-12,110.23,110.24,110.23,110.24,37335,0.0
2011-08-15,110.26,110.26,110.23,110.24,241901,0.0
2011-08-16,110.24,110.26,110.24,110.25,27285,9.07111756169865e-05
2011-08-17,110.25,110.27,110.24,110.25,41862,0.0
2011-08-18,110.25,110.26,110.24,110.25,44834,0.0
2011-08-19,110.25,110.27,110.25,110.27,236012,0.0001814058956914888
2011-08-22,110.26,110.28,110.26,110.27,22188,0.0
2011-08-23,110.27,110.28,110.26,110.27,54397,0.0
2011-08-24,110.26,110.28,110.26,110.27,161217,0.0
2011-08-25,110.26,110.27,110.25,110.27,14238,0.0
2011-08-26,110.28,110.28,110.25,110.25,129495,-0.00018137299356124625
2011-08-29,110.26,110.28,110.26,110.28,14547,0.0002721088435373442
2011-08-30,110.26,110.27,110.25,110.25,42770,-0.0002720348204570122
2011-08-31,110.26,110.27,110.24,110.24,104715,-9.070294784585542e-05
2011-09-01,110.23,110.26,110.23,110.24,17364,0.0
2011-09-02,110.24,110.25,110.23,110.23,13976,-9.071117561676445e-05
2011-09-06,110.23,110.26,110.23,110.26,48706,0.0002721582146421042
2011-09-07,110.25,110.26,110.24,110.24,15639,-0.00018138944313450533
2011-09-08,110.24,110.25,110.23,110.23,7166,-9.071117561676445e-05
2011-09-09,110.23,110.24,110.23,110.23,101952,0.0
2011-09-12,110.24,110.25,110.23,110.23,242600,0.0
2011-09-13,110.23,110.25,110.23,110.25,142548,0.0001814388097614028
2011-09-14,110.24,110.25,110.23,110.23,37143,-0.00018140589569159982
2011-09-15,110.23,110.25,110.23,110.25,54079,0.0001814388097614028
2011-09-16,110.24,110.25,110.24,110.24,9003,-9.070294784585542e-05
2011-09-19,110.24,110.26,110.24,110.24,28478,0.0
2011-09-20,110.24,110.25,110.24,110.25,23600,9.07111756169865e-05
2011-09-21,110.26,110.26,110.23,110.23,633208,-0.00018140589569159982
2011-09-22,110.23,110.26,110.23,110.25,970591,0.0001814388097614028
2011-09-23,110.26,110.26,110.24,110.24,253589,-9.070294784585542e-05
2011-09-26,110.24,110.26,110.24,110.24,90859,0.0
2011-09-27,110.24,110.25,110.24,110.24,73337,0.0
2011-09-28,110.25,110.26,110.22,110.24,441437,0.0
2011-09-29,110.24,110.25,110.22,110.23,514751,-9.071117561676445e-05
2011-09-30,110.25,110.25,110.23,110.25,122820,0.0001814388097614028
2011-10-03,110.24,110.24,110.22,110.22,209036,-0.00027210884353745524
2011-10-04,110.24,110.24,110.23,110.24,164685,0.0001814552712755546
2011-10-05,110.23,110.24,110.23,110.24,103917,0.0
2011-10-06,110.23,110.25,110.23,110.24,30005,0.0
2011-10-07,110.24,110.25,110.23,110.23,204780,-9.071117561676445e-05
2011-10-10,110.25,110.25,110.23,110.25,71358,0.0001814388097614028
2011-10-11,110.24,110.24,110.23,110.24,124408,-9.070294784585542e-05
2011-10-12,110.23,110.25,110.23,110.23,158652,-9.071117561676445e-05
2011-10-13,110.25,110.25,110.22,110.22,10275,-9.07194048807014e-05
2011-10-14,110.22,110.24,110.22,110.24,100801,0.0001814552712755546
2011-10-17,110.23,110.24,110.23,110.24,17436,0.0
2011-10-18,110.22,110.24,110.22,110.24,186124,0.0
2011-10-19,110.22,110.24,110.22,110.24,19144,0.0
2011-10-20,110.22,110.24,110.22,110.22,36163,-0.00018142235123363992
2011-10-21,110.23,110.24,110.22,110.24,167501,0.0001814552712755546
2011-10-24,110.23,110.23,110.22,110.22,14060,-0.00018142235123363992
2011-10-25,110.22,110.23,110.22,110.22,123234,0.0
2011-10-26,110.22,110.23,110.22,110.22,22281,0.0
2011-10-27,110.22,110.23,110.21,110.22,68136,0.0
2011-10-28,110.23,110.23,110.21,110.22,41012,0.0
2011-10-31,110.21,110.23,110.21,110.23,291841,9.072763563788833e-05
2011-11-01,110.21,110.22,110.21,110.21,81759,-0.00018143880976151383
2011-11-02,110.21,110.22,110.21,110.21,5873,0.0
2011-11-03,110.23,110.23,110.22,110.22,109235,9.073586788854726e-05
2011-11-04,110.22,110.24,110.22,110.23,25776,9.072763563788833e-05
2011-11-07,110.22,110.24,110.22,110.23,168692,0.0
2011-11-08,110.24,110.24,110.24,110.24,3307,9.07194048807014e-05
2011-11-09,110.23,110.23,110.22,110.22,66300,-0.00018142235123363992
2011-11-10,110.22,110.24,110.22,110.23,42203,9.072763563788833e-05
2011-11-11,110.22,110.24,110.22,110.23,49904,0.0
2011-11-14,110.24,110.24,110.22,110.22,18935,-9.07194048807014e-05
2011-11-15,110.23,110.23,110.22,110.22,27834,0.0
2011-11-16,110.22,110.25,110.22,110.25,41563,0.00027218290691344293
2011-11-17,110.23,110.25,110.22,110.23,148379,-0.00018140589569159982
2011-11-18,110.24,110.25,110.24,110.24,44927,9.07194048807014e-05
2011-11-21,110.24,110.25,110.24,110.25,21105,9.07111756169865e-05
2011-11-22,110.25,110.25,110.22,110.22,77966,-0.00027210884353745524
2011-11-23,,,,110.23,0,9.072763563788833e-05
2011-11-25,110.22,110.23,110.21,110.21,30006,-0.00018143880976151383
2011-11-28,110.23,110.23,110.21,110.23,32966,0.00018147173577731657
2011-11-29,110.24,110.24,110.22,110.23,13676,0.0
2011-11-30,110.22,110.22,110.21,110.21,14124,-0.00018143880976151383
2011-12-01,110.22,110.23,110.21,110.22,41287,9.073586788854726e-05
2011-12-02,110.21,110.23,110.21,110.23,16330,9.072763563788833e-05
2011-12-05,110.22,110.23,110.21,110.21,68821,-0.00018143880976151383
2011-12-06,110.21,110.22,110.21,110.21,63549,0.0
2011-12-07,110.24,110.24,110.22,110.23,22527,0.00018147173577731657
2011-12-08,110.24,110.25,110.23,110.23,173468,0.0
2011-12-09,110.22,110.23,110.22,110.23,59781,0.0
2011-12-12,110.23,110.24,110.22,110.23,273139,0.0
2011-12-13,110.23,110.24,110.22,110.24,3513,9.07194048807014e-05
2011-12-14,110.23,110.24,110.22,110.24,11713,0.0
2011-12-15,110.23,110.23,110.22,110.23,20665,-9.071117561676445e-05
2011-12-16,110.23,110.23,110.22,110.22,8014,-9.07194048807014e-05
2011-12-19,110.22,110.24,110.22,110.24,23773,0.0001814552712755546
2011-12-20,110.23,110.24,110.22,110.22,30619,-0.00018142235123363992
2011-12-21,110.22,110.23,110.22,110.22,8962,0.0
2011-12-22,110.22,110.23,110.22,110.22,29803,0.0
2011-12-23,,,,110.2,0,-0.0001814552712755546
2011-12-27,110.23,110.23,110.15,110.21,35240,9.074410163334434e-05
2011-12-28,110.21,110.23,110.21,110.21,10619,0.0
2011-12-29,110.23,110.23,110.21,110.21,22470,0.0
